Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	38	11.76470588235294	5.69712654147312E-42	C7, MBL2, A2M, C9, MASP1, C3, C6, C5, C1R, C1S, C1QC, FGG, FGA, FGB, CD46, KLKB1, CFH, C2, CFI, F11, PLAT, CR1, CR2, C4A, C4B, CFB, C4BPB, SERPING1, C4BPA, C8G, C8A, C1QA, C8B, C1QB, CD55, PROS1, CPB2, PLAU	177	69	6879	21.40358634242201	1.0197856509236885E-39	1.0197856509236885E-39	7.010896957250339E-39
KEGG_PATHWAY	hsa04145:Phagosome	36	11.145510835913312	9.339990942445663E-25	MBL2, RAB7A, MSR1, C3, TLR2, TLR4, ITGB2, C1R, ITGB3, SFTPA1, TLR6, ITGB1, ITGAM, MARCO, ACTG1, ITGAV, RAC1, SFTPD, SCARB1, FCGR3A, THBS1, ACTB, HLA-A, COLEC12, CTSS, HLA-E, CTSL, CORO1A, CD36, FCGR2B, FCAR, SFTPA2, RAB5A, FCGR2A, CLEC7A, CD14	177	150	6879	9.327457627118646	1.6718583786977737E-22	8.359291893488869E-23	1.1493814224145046E-21
KEGG_PATHWAY	hsa05133:Pertussis	26	8.04953560371517	4.751186370741984E-22	TNF, C3, C5, C1R, ITGB2, TLR4, C1S, SFTPA1, C1QC, ITGB1, ITGAM, IRAK4, C2, TRAF6, C4A, C4B, C4BPB, SERPING1, C4BPA, NLRP3, C1QA, C1QB, MAPK1, SFTPA2, MAPK3, CD14	177	75	6879	13.472994350282487	8.504623603628152E-20	2.834874534542717E-20	5.846820818789674E-19
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	23	7.120743034055728	9.365838682433552E-22	MBL2, ITGAL, MASP1, C4A, C4B, C3, CFB, C5, C1R, ITGB2, C1S, C1QC, ITGAM, C1QA, C1QB, FGG, FCGR2B, FCAR, CFH, FCGR2A, C2, CFI, FCGR3A	177	54	6879	16.55335844318895	1.6764851241556058E-19	4.1912128103890145E-20	1.1525622512115078E-18
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	29	8.978328173374612	1.6026297708458836E-18	C7, TNF, C9, C3, C6, C5, C1R, C1S, C1QC, HIST1H2BK, HIST1H2BI, HIST1H2BJ, C2, FCGR3A, HIST1H2BC, HIST1H2BE, C4A, C4B, HIST1H2BF, HIST1H2BG, ELANE, C8G, C1QA, C8A, C1QB, C8B, HIST2H2BE, FCGR2A, CTSG	177	134	6879	8.41095370604604	2.8687072898141317E-16	5.737414579628263E-17	1.972199862900873E-15
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	31	9.597523219814242	6.013501149606528E-15	ITGAL, WASF2, ITGB2, ARPC4, ITGB3, ITGB1, ITGAM, SRC, ACTG1, CDC42, PTK2, ARPC3, RAC3, GSN, ARPC2, ITGAV, RAC1, PIK3CA, ACTB, BAIAP2, NCKAP1L, WAS, NCKAP1, ARPC1A, ARPC1B, MAPK1, MAPK3, CYFIP2, CYFIP1, WASL, CRK	177	210	6879	5.737126715092816	1.0731415756026763E-12	1.7885692926711272E-13	7.382983113757291E-12
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	21	6.5015479876160995	1.2717569556583132E-14	LYN, WASF2, ARPC4, PRKCE, PRKCD, WAS, ARPC1A, CDC42, MAPK1, ARPC1B, FCGR2B, ARPC3, GSN, ARPC2, PLCG2, MAPK3, RAC1, PIK3CA, FCGR2A, WASL, CRK	177	84	6879	9.716101694915254	2.2853940961908847E-12	3.2651659154225854E-13	1.5709655798445965E-11
KEGG_PATHWAY	hsa05131:Shigellosis	18	5.572755417956656	1.9283243792869273E-13	ACTB, WASF2, ARPC4, ITGB1, WAS, SRC, ARPC1A, ACTG1, CDC42, ARPC1B, MAPK1, ARPC3, ARPC2, MAPK3, RAC1, WASL, ABL1, CRK	177	64	6879	10.930614406779663	3.4519387348552755E-11	4.314881785205671E-12	2.3732127374387346E-10
KEGG_PATHWAY	hsa05100:Bacterial invasion of epithelial cells	19	5.88235294117647	5.177861169770517E-13	ACTB, MET, WASF2, ARPC4, ITGB1, WAS, SRC, ARPC1A, ACTG1, CDC42, ARPC1B, PTK2, ARPC3, ARPC2, RAC1, PIK3CA, WASL, CRK, DNM2	177	78	6879	9.46697088222512	9.268763534464597E-11	1.0298650821027877E-11	6.372125049836086E-10
KEGG_PATHWAY	hsa05152:Tuberculosis	26	8.04953560371517	1.7869136647652977E-12	RAB7A, TNF, C3, TLR1, TLR2, ITGB2, TLR4, TLR6, ITGAM, SRC, TLR9, IRAK4, FCER1G, TRAF6, FCGR3A, CR1, CTSS, MAPK1, CORO1A, FCGR2B, MAPK3, RAB5A, FCGR2A, HSPD1, CLEC7A, CD14	177	177	6879	5.708895911136647	3.198558085060199E-10	3.198552533945076E-11	2.1989632337238163E-9
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	15	4.643962848297214	1.739683068143401E-11	ACTB, TLR4, ARPC4, TLR5, ITGB1, WAS, ACTG1, ARPC1A, CDC42, ARPC1B, ARPC3, ARPC2, WASL, ABL1, CD14	177	51	6879	11.430707876370887	3.114038249485418E-9	2.830944367815391E-10	2.140861932176108E-8
KEGG_PATHWAY	hsa05132:Salmonella infection	18	5.572755417956656	1.867913275628275E-11	ACTB, RAB7A, WASF2, ARPC4, TLR4, TLR5, WAS, ARPC1A, ACTG1, CDC42, MAPK1, ARPC1B, ARPC3, ARPC2, MAPK3, RAC1, WASL, CD14	177	83	6879	8.428425566673475	3.343571308711546E-9	2.7863089613333614E-10	2.29866237155818E-8
KEGG_PATHWAY	hsa05144:Malaria	14	4.3343653250774	1.5214064443906172E-10	ITGAL, CR1, TNF, MET, KLRK1, TLR2, ITGB2, TLR4, TLR9, LRP1, CD36, CD81, PECAM1, THBS1	177	49	6879	11.104116222760291	2.7233173049978632E-8	2.0948595080838572E-9	1.8722461359033105E-7
KEGG_PATHWAY	hsa05020:Prion diseases	12	3.7151702786377707	3.863511268640572E-10	C8A, C1QA, MAPK1, C8B, C7, C1QB, C9, C6, C5, MAPK3, C1QC, C8G	177	34	6879	13.716849451645064	6.915685768493773E-8	4.939775699597249E-9	4.754446392141176E-7
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	18	5.572755417956656	1.0731071906677185E-9	TNF, TLR1, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, IRAK4, MAPK1, CTSK, MAPK3, RAC1, PIK3CA, TRAF6, CD14	177	106	6879	6.599616245602815	1.920861630866355E-7	1.280574535300616E-8	1.3205681215211484E-6
