From	To
KVD40_HUMAN	IGKV2D-40
ITAM_HUMAN	ITGAM
NKG2D_HUMAN	KLRK1
MET_HUMAN	MET
CO8G_HUMAN	C8G
IC1_HUMAN	SERPING1
CYFP1_HUMAN	CYFIP1
FCG2B_HUMAN	FCGR2B
P2RX7_HUMAN	P2RX7
TPA_HUMAN	PLAT
LDLR_HUMAN	LDLR
LV147_HUMAN	IGLV1-47
LYZL2_HUMAN	LYZL2
IGLC3_HUMAN	IGLC3
I27RA_HUMAN	IL27RA
KPCE_HUMAN	PRKCE
UB2D3_HUMAN	UBE2D3
ACTG_HUMAN	ACTG1
FCGRB_HUMAN	FCGR1B
ITAL_HUMAN	ITGAL
S10A9_HUMAN	S100A9
MK01_HUMAN	MAPK1
KV105_HUMAN	IGKV1-5
WASL_HUMAN	WASL
ANXA3_HUMAN	ANXA3
CO8A_HUMAN	C8A
RAC1_HUMAN	RAC1
WASF2_HUMAN	WASF2
NCKPL_HUMAN	NCKAP1L
TLR8_HUMAN	TLR8
PGRP1_HUMAN	PGLYRP1
ECP_HUMAN	RNASE3
FCG2A_HUMAN	FCGR2A
KPCD_HUMAN	PRKCD
IGKC_HUMAN	IGKC
CD5L_HUMAN	CD5L
UROK_HUMAN	PLAU
C1R_HUMAN	C1R
CO6_HUMAN	C6
CPN2_HUMAN	CPN2
TGM2_HUMAN	TGM2
PGRP2_HUMAN	PGLYRP2
H2B2E_HUMAN	HIST2H2BE
ICAM5_HUMAN	ICAM5
SRC_HUMAN	SRC
ARC1B_HUMAN	ARPC1B
LV743_HUMAN	IGLV7-43
TREM2_HUMAN	TREM2
FCERG_HUMAN	FCER1G
KVD39_HUMAN	IGKV1D-39
IRAK4_HUMAN	IRAK4
BIN2_HUMAN	BIN2
CYFP2_HUMAN	CYFIP2
EPHA2_HUMAN	EPHA2
HV333_HUMAN	IGHV3-33
TLR7_HUMAN	TLR7
CATG_HUMAN	CTSG
DEF6_HUMAN	DEFA6
HV353_HUMAN	IGHV3-53
CO3_HUMAN	C3
CLC7A_HUMAN	CLEC7A
NLRP3_HUMAN	NLRP3
3BP1_HUMAN	SH3BP1
RAB14_HUMAN	RAB14
ITB2_HUMAN	ITGB2
HV434_HUMAN	IGHV4-34
HV102_HUMAN	IGHV1-2
LV144_HUMAN	IGLV1-44
LEPR_HUMAN	LEPR
KV502_HUMAN	IGKV5-2
APOH_HUMAN	APOH
CO7_HUMAN	C7
PHB_HUMAN	PHB
TLR4_HUMAN	TLR4
FAK1_HUMAN	PTK2
LYZL6_HUMAN	LYZL6
DEF4_HUMAN	DEFA4
BAIP2_HUMAN	BAIAP2
MYO1C_HUMAN	MYO1C
HV439_HUMAN	IGHV4-39
ACTB_HUMAN	ACTB
ARP2_HUMAN	ACTR2
KVD16_HUMAN	IGKV1D-16
ITB3_HUMAN	ITGB3
SFPA2_HUMAN	SFTPA2
CLUS_HUMAN	CLU
GSDMD_HUMAN	GSDMD
KVD30_HUMAN	IGKV2D-30
HV313_HUMAN	IGHV3-13
RNAS6_HUMAN	RNASE6
LYSC_HUMAN	LYZ
PGK1_HUMAN	PGK1
RNAS7_HUMAN	RNASE7
FHR1_HUMAN	CFHR1
S10A8_HUMAN	S100A8
HLAE_HUMAN	HLA-E
CD81_HUMAN	CD81
CFAB_HUMAN	CFB
LV208_HUMAN	IGLV2-8
TLR9_HUMAN	TLR9
PTX3_HUMAN	PTX3
NRAM1_HUMAN	SLC11A1
VTNC_HUMAN	VTN
MAPK2_HUMAN	MAPKAPK2
TNR14_HUMAN	TNFRSF14
H2B1K_HUMAN	HIST1H2BK
ABCA1_HUMAN	ABCA1
PEAR1_HUMAN	PEAR1
SACA3_HUMAN	SPACA3
KVD33_HUMAN	IGKV1D-33
HV459_HUMAN	IGHV4-59
RL40_HUMAN	UBA52
MK03_HUMAN	MAPK3
KS6A3_HUMAN	RPS6KA3
GELS_HUMAN	GSN
HV169_HUMAN	IGHV1-69
PGRP4_HUMAN	PGLYRP4
HV205_HUMAN	IGHV2-5
