Pathogen_Uniprot_ID	Human_Uniprot_ID
Q04KG2	P24071
Q04KG2	P31994
Q04KG2	P30273
Q04KG2	P10909
Q04KG2	P04004
Q04KG2	P01023
Q04KG2	Q96IY4
Q04KG2	P06681
Q04KG2	P01024
Q04KG2	P01031
Q04KG2	P02748
Q04KG2	P08174
Q04KG2	P05156
Q04KG2	P08603
Q04KG2	P01584
Q04KG2	P15169
Q04KG2	P0C0L4
Q04KG2	P0C0L5
Q04KG2	P07357
Q04KG2	P07358
Q04KG2	P00751
Q04KG2	P02747
Q04KG2	P00736
Q04KG2	P20023
Q04KG2	P0DOY2
Q04KG2	P01834
Q04KG2	P15529
Q04KG2	P0DOY3
Q04KG2	P13671
Q04KG2	P10643
Q04KG2	O43866
Q04KG2	P02746
Q04KG2	P09871
Q04KG2	P20851
Q04KG2	Q07021
Q04KG2	P02745
Q04KG2	P04003
Q04KG2	Q03591
Q04KG2	P27918
Q04KG2	P48740
Q04KG2	P22792
Q04KG2	Q9BXR6
Q04KG2	P35232
Q04KG2	P36980
Q04KG2	P07360
Q04KG2	Q2VPA4
Q04KG2	Q92496
Q04KG2	Q5VX71
Q04KG2	P06756
Q04KG2	O14514
Q04KG2	P05106
Q04KG2	Q08722
Q04KG2	P05107
Q04KG2	P49279
Q04KG2	Q92544
Q04KG2	P05556
Q04KG2	Q08431
Q04KG2	P29274
Q04KG2	Q8IZY2
Q04KG2	P30542
Q04KG2	O00602
Q04KG2	P11215
Q04KG2	Q99572
Q04KG2	Q07954
Q04KG2	P16284
Q04KG2	P24158
Q04KG2	P26022
Q04KG2	Q9BUD6
Q04KG2	P20701
Q04KG2	Q12866
Q04KG2	P08571
Q04KG2	O95477
Q04KG2	P18428
Q04KG2	P32942
Q04KG2	Q8WTV0
Q04KG2	P01130
Q04KG2	P48357
Q04KG2	P09769
Q04KG2	P06396
Q04KG2	O00206
Q04KG2	P12931
Q04KG2	P21980
Q04KG2	Q8IZP0
Q04KG2	O15511
Q04KG2	P00519
Q04KG2	P02741
Q04KG2	Q05397
Q04KG2	Q15485
Q04KG2	Q7L576
Q04KG2	P16671
Q04KG2	P41159
Q04KG2	Q9UMF0
Q04KG2	Q05655
Q04KG2	P07948
Q04KG2	Q13291
Q04KG2	P62993
Q04KG2	P08637
Q04KG2	Q9BZG1
Q04KG2	P51149
Q04KG2	Q70J99
Q04KG2	P07947
Q04KG2	P09693
Q04KG2	Q9Y3L3
Q04KG2	Q96F07
Q04KG2	O15145
Q04KG2	O15144
Q04KG2	P59998
Q04KG2	Q9NPY3
Q04KG2	P50570
Q04KG2	P46108
Q04KG2	Q9UQB8
Q04KG2	P31146
Q04KG2	P20963
Q04KG2	O75636
Q04KG2	P15814
Q04KG2	P01880
Q04KG2	P16885
Q04KG2	P12314
Q04KG2	B0I1T2
Q04KG2	O00159
Q04KG2	P55160
Q04KG2	Q9Y2A7
Q04KG2	O60733
Q04KG2	Q99755
Q04KG2	P35579
Q04KG2	P51809
Q04KG2	Q9Y6W5
Q04KG2	O00401
Q04KG2	P42768
Q04KG2	P50607
Q04KG2	O43581
Q04KG2	O00294
Q04KG2	P21757
Q04KG2	Q02156
Q04KG2	Q9UEW3
Q04KG2	P12318
Q04KG2	Q96KG7
Q04KG2	Q5VY43
Q04KG2	Q8NBS9
Q04KG2	P78539
Q04KG2	Q9H6D3
Q04KG2	B9A064
Q04KG2	Q96LR4
Q04KG2	P02671
Q04KG2	P02675
Q04KG2	P07711
Q04KG2	P07858
Q04KG2	P02679
Q04KG2	P06702
Q04KG2	P05109
Q04KG2	P43235
Q04KG2	P25774
Q04KG2	O60603
Q04KG2	P04114
Q04KG2	Q7L0X0
Q04KG2	P62987
Q04KG2	Q9NR96
Q04KG2	Q15399
Q04KG2	Q9Y2C9
Q04KG2	P10809
Q04KG2	Q99538
Q04KG2	P0CG47
Q04KG2	O15455
Q04KG2	P62979
Q04KG2	Q9BXR5
Q04KG2	O60602
Q04KG2	Q9NYK1
Q04KG2	Q9NR97
Q04KG2	P62837
Q04KG2	P51812
Q04KG2	P61077
Q04KG2	Q14699
Q04KG2	Q9HCY8
Q04KG2	Q9Y4K3
Q04KG2	Q8N5C8
Q04KG2	P23297
Q04KG2	P49137
Q04KG2	Q9H756
Q04KG2	P00750
Q04KG2	P02749
Q04KG2	P03951
Q04KG2	P00558
Q04KG2	E7ESF4
Q04KG2	B4DN26
Q04KG2	E5RHG4
Q04KG2	E5RGA1
Q04KG2	P05067
Q04KG2	P08311
Q04KG2	P01375
Q04KG2	Q9UGM3
Q04KG2	Q96P20
Q04KG2	P57764
Q04KG2	A1L4H1
Q04KG2	P59665
Q04KG2	P78536
Q04KG2	P13747
Q04KG2	P02788
Q04KG2	P49913
Q04KG2	P61769
Q04KG2	P81605
Q04KG2	P60022
Q04KG2	Q01523
Q04KG2	P05231
Q04KG2	P14555
Q04KG2	Q96PD5
Q04KG2	O75594
Q04KG2	Q8IXA5
Q04KG2	P61626
Q04KG2	Q16778
Q04KG2	P62807
Q04KG2	P59666
Q04KG2	Q9H1E1
Q04KG2	Q93091
Q04KG2	P35318
Q04KG2	O15263
Q04KG2	P03950
Q04KG2	P12724
Q04KG2	P06881
Q04KG2	P10645
Q04KG2	P81534
Q04KG2	P29459
Q04KG2	P01303
Q04KG2	P04054
Q04KG2	Q96LB9
Q04KG2	P20366
Q04KG2	P81172
Q04KG2	Q6UWK7
Q04KG2	P06899
Q04KG2	P57053
Q04KG2	O60814
Q04KG2	Q01524
Q04KG2	P12838
Q04KG2	Q92956
Q04KG2	P29317
Q04KG2	Q8N104
Q04KG2	P00709
Q04KG2	Q6UWB1
Q04KG2	Q96LB8
Q04KG2	P01374
Q04KG2	P01282
Q04KG2	P02538
Q04KG2	P62861
Q04KG2	P62891
Q04KG2	P32971
Q04KG2	O75951
Q04KG2	Q8WTQ1
Q04KG2	Q30KQ6
Q04KG2	Q8N690
Q04KG2	Q8TDE3
Q04KG2	Q96KX0
Q04KG2	Q7Z4W2
Q04KG2	Q6UWQ5
Q04KG2	Q96QH8
Q04KG2	Q7Z7B8
Q04IN8	P31994
Q04IN8	P30273
Q04IN8	P10909
Q04IN8	P04004
Q04IN8	P01023
Q04IN8	Q96IY4
Q04IN8	P06681
Q04IN8	P01024
Q04IN8	P01031
Q04IN8	P02748
Q04IN8	P08174
Q04IN8	P05156
Q04IN8	P08603
Q04IN8	P01584
Q04IN8	P15169
Q04IN8	P0C0L4
Q04IN8	P0C0L5
Q04IN8	P07357
Q04IN8	P07358
Q04IN8	P00751
Q04IN8	P02747
Q04IN8	P00736
Q04IN8	P20023
Q04IN8	P0DOY2
Q04IN8	P01834
Q04IN8	P15529
Q04IN8	P0DOY3
Q04IN8	P13671
Q04IN8	P10643
Q04IN8	O43866
Q04IN8	P02746
Q04IN8	P09871
Q04IN8	P20851
Q04IN8	Q07021
Q04IN8	P02745
Q04IN8	P04003
Q04IN8	Q03591
Q04IN8	P27918
Q04IN8	P48740
Q04IN8	P22792
Q04IN8	Q9BXR6
Q04IN8	P35232
Q04IN8	P36980
Q04IN8	P07360
Q04IN8	Q2VPA4
Q04IN8	Q92496
Q04IN8	Q5VX71
Q04IN8	P06756
Q04IN8	O14514
Q04IN8	P05106
Q04IN8	Q08722
Q04IN8	P05107
Q04IN8	P49279
Q04IN8	Q92544
Q04IN8	P05556
Q04IN8	Q08431
Q04IN8	P29274
Q04IN8	Q8IZY2
Q04IN8	P30542
Q04IN8	O00602
Q04IN8	P11215
Q04IN8	Q99572
Q04IN8	Q07954
Q04IN8	P16284
Q04IN8	P24158
Q04IN8	P26022
Q04IN8	Q9BUD6
Q04IN8	P20701
Q04IN8	P08571
Q04IN8	O95477
Q04IN8	P18428
Q04IN8	Q8WTV0
Q04IN8	P01130
Q04IN8	P48357
Q04IN8	P09769
Q04IN8	P06396
Q04IN8	O00206
Q04IN8	P12931
Q04IN8	P21980
Q04IN8	Q8IZP0
Q04IN8	O15511
Q04IN8	P00519
Q04IN8	P02741
Q04IN8	Q05397
Q04IN8	Q15485
Q04IN8	Q7L576
Q04IN8	P16671
Q04IN8	P41159
Q04IN8	P07948
Q04IN8	Q13291
Q04IN8	P62993
Q04IN8	P08637
Q04IN8	Q9BZG1
Q04IN8	P51149
Q04IN8	Q70J99
Q04IN8	P07947
Q04IN8	P09693
Q04IN8	Q96F07
Q04IN8	O15145
Q04IN8	O15144
Q04IN8	P59998
Q04IN8	Q9NPY3
Q04IN8	P50570
Q04IN8	P46108
Q04IN8	Q9UQB8
Q04IN8	P31146
Q04IN8	P20963
Q04IN8	O75636
Q04IN8	P15814
Q04IN8	P01880
Q04IN8	P16885
Q04IN8	P12314
Q04IN8	B0I1T2
Q04IN8	O00159
Q04IN8	P55160
Q04IN8	Q9Y2A7
Q04IN8	O60733
Q04IN8	Q99755
Q04IN8	P35579
Q04IN8	P51809
Q04IN8	Q9Y6W5
Q04IN8	O00401
Q04IN8	P42768
Q04IN8	P50607
Q04IN8	O43581
Q04IN8	O00294
Q04IN8	P21757
Q04IN8	Q02156
Q04IN8	Q9UEW3
Q04IN8	P12318
Q04IN8	Q96KG7
Q04IN8	Q5VY43
Q04IN8	Q8NBS9
Q04IN8	P78539
Q04IN8	Q9H6D3
Q04IN8	B9A064
Q04IN8	Q96LR4
Q04IN8	P02671
Q04IN8	P02675
Q04IN8	P07711
Q04IN8	P07858
Q04IN8	P02679
Q04IN8	P06702
Q04IN8	P05109
Q04IN8	P43235
Q04IN8	P25774
Q04IN8	O60603
Q04IN8	P04114
Q04IN8	Q7L0X0
Q04IN8	P62987
Q04IN8	Q9NR96
Q04IN8	Q15399
Q04IN8	Q9Y2C9
Q04IN8	Q99538
Q04IN8	P0CG47
Q04IN8	O15455
Q04IN8	P62979
Q04IN8	Q9BXR5
Q04IN8	O60602
Q04IN8	Q9NYK1
Q04IN8	Q9NR97
Q04IN8	P62837
Q04IN8	P51812
Q04IN8	P61077
Q04IN8	Q14699
Q04IN8	Q9HCY8
Q04IN8	Q9Y4K3
Q04IN8	Q8N5C8
Q04IN8	P23297
Q04IN8	P49137
Q04IN8	Q9H756
Q04IN8	P00750
Q04IN8	P02749
Q04IN8	P03951
Q04IN8	P00558
Q04IN8	E7ESF4
Q04IN8	B4DN26
Q04IN8	E5RHG4
Q04IN8	E5RGA1
Q04IN8	P05067
Q04IN8	P08311
Q04IN8	P01375
Q04IN8	Q9UGM3
Q04IN8	Q96P20
Q04IN8	P57764
Q04IN8	A1L4H1
Q04IN8	P59665
Q04IN8	P78536
Q04IN8	P13747
Q04IN8	P02788
Q04IN8	P49913
Q04IN8	P61769
Q04IN8	P81605
Q04IN8	P60022
Q04IN8	Q01523
Q04IN8	P05231
Q04IN8	P14555
Q04IN8	Q96PD5
Q04IN8	O75594
Q04IN8	Q8IXA5
Q04IN8	P61626
Q04IN8	Q16778
Q04IN8	P62807
Q04IN8	P59666
Q04IN8	Q9H1E1
Q04IN8	Q93091
Q04IN8	P35318
Q04IN8	O15263
Q04IN8	P03950
Q04IN8	P12724
Q04IN8	P06881
Q04IN8	P10645
Q04IN8	P81534
Q04IN8	P29459
Q04IN8	P01303
Q04IN8	P04054
Q04IN8	Q96LB9
Q04IN8	P20366
Q04IN8	P81172
Q04IN8	Q6UWK7
Q04IN8	P06899
Q04IN8	P57053
Q04IN8	O60814
Q04IN8	Q01524
Q04IN8	P12838
Q04IN8	Q92956
Q04IN8	P29317
Q04IN8	Q8N104
Q04IN8	P00709
Q04IN8	Q6UWB1
Q04IN8	Q96LB8
Q04IN8	P01374
Q04IN8	P01282
Q04IN8	P02538
Q04IN8	P62861
Q04IN8	P62891
Q04IN8	P32971
Q04IN8	O75951
Q04IN8	Q8WTQ1
Q04IN8	Q30KQ6
Q04IN8	Q8N690
Q04IN8	Q8TDE3
Q04IN8	Q96KX0
Q04IN8	Q7Z4W2
Q04IN8	Q6UWQ5
Q04IN8	Q96QH8
Q04IN8	Q7Z7B8
A0A0H2ZNM5	P31994
A0A0H2ZNM5	P30273
A0A0H2ZNM5	P10909
A0A0H2ZNM5	P04004
A0A0H2ZNM5	P01023
A0A0H2ZNM5	Q96IY4
A0A0H2ZNM5	P06681
A0A0H2ZNM5	P01024
A0A0H2ZNM5	P01031
A0A0H2ZNM5	P02748
A0A0H2ZNM5	P08174
A0A0H2ZNM5	P05156
A0A0H2ZNM5	P08603
A0A0H2ZNM5	P01584
A0A0H2ZNM5	P15169
A0A0H2ZNM5	P0C0L4
A0A0H2ZNM5	P0C0L5
A0A0H2ZNM5	P07357
A0A0H2ZNM5	P07358
A0A0H2ZNM5	P00751
A0A0H2ZNM5	P02747
A0A0H2ZNM5	P00736
A0A0H2ZNM5	P20023
A0A0H2ZNM5	P0DOY2
