Pfam_ID	Description
PF00001	7 transmembrane receptor (rhodopsin family)
PF00002	7 transmembrane receptor (Secretin family)
PF00004	ATPase family associated with various cellular activities (AAA)
PF00005	ABC transporter
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	Cystine-knot domain
PF00008	EGF-like domain
PF00009	Elongation factor Tu GTP binding domain
PF00010	Helix-loop-helix DNA-binding domain
PF00011	Hsp20/alpha crystallin family
PF00012	Hsp70 protein
PF00013	KH domain
PF00014	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00017	SH2 domain
PF00018	SH3 domain
PF00019	Transforming growth factor beta like domain
PF00020	TNFR/NGFR cysteine-rich region
PF00022	Actin
PF00023	Ankyrin repeat
PF00024	PAN domain
PF00025	ADP-ribosylation factor family
PF00026	Eukaryotic aspartyl protease
PF00027	Cyclic nucleotide-binding domain
PF00028	Cadherin domain
PF00031	Cystatin domain
PF00035	Double-stranded RNA binding motif
PF00036	EF hand
PF00037	4Fe-4S binding domain
PF00038	Intermediate filament protein
PF00040	Fibronectin type II domain
PF00041	Fibronectin type III domain
PF00042	Globin
PF00043	Glutathione S-transferase, C-terminal domain
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	Hemopexin
PF00046	Homeodomain
PF00047	Immunoglobulin domain
PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00050	Kazal-type serine protease inhibitor domain
PF00051	Kringle domain
PF00052	Laminin B (Domain IV)
PF00053	Laminin EGF domain
PF00054	Laminin G domain
PF00055	Laminin N-terminal (Domain VI)
PF00056	lactate/malate dehydrogenase, NAD binding domain
PF00057	Low-density lipoprotein receptor domain class A
PF00058	Low-density lipoprotein receptor repeat class B
PF00059	Lectin C-type domain
PF00061	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	C-type lysozyme/alpha-lactalbumin family
PF00063	Myosin head (motor domain)
PF00066	LNR domain
PF00067	Cytochrome P450
PF00069	Protein kinase domain
PF00070	Pyridine nucleotide-disulphide oxidoreductase
PF00071	Ras family
PF00072	Response regulator receiver domain
PF00074	Pancreatic ribonuclease
PF00075	RNase H
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	Serpin (serine protease inhibitor)
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	Subtilase family
PF00083	Sugar (and other) transporter
PF00084	Sushi repeat (SCR repeat)
PF00085	Thioredoxin
PF00086	Thyroglobulin type-1 repeat
PF00088	Trefoil (P-type) domain
PF00089	Trypsin
PF00090	Thrombospondin type 1 domain
PF00091	Tubulin/FtsZ family, GTPase domain
PF00092	von Willebrand factor type A domain
PF00093	von Willebrand factor type C domain
PF00094	von Willebrand factor type D domain
PF00095	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	Zinc finger, C2H2 type
PF00097	Zinc finger, C3HC4 type (RING finger)
PF00098	Zinc knuckle
PF00100	Zona pellucida-like domain
PF00102	Protein-tyrosine phosphatase
PF00103	Somatotropin hormone family
PF00104	Ligand-binding domain of nuclear hormone receptor
PF00105	Zinc finger, C4 type (two domains)
PF00106	short chain dehydrogenase
PF00107	Zinc-binding dehydrogenase
PF00108	Thiolase, N-terminal domain
PF00109	Beta-ketoacyl synthase, N-terminal domain
PF00110	wnt family
PF00111	2Fe-2S iron-sulfur cluster binding domain
PF00112	Papain family cysteine protease
PF00113	Enolase, C-terminal TIM barrel domain
PF00115	Cytochrome C and Quinol oxidase polypeptide I
PF00117	Glutamine amidotransferase class-I
PF00118	TCP-1/cpn60 chaperonin family
PF00120	Glutamine synthetase, catalytic domain
PF00122	E1-E2 ATPase
PF00125	Core histone H2A/H2B/H3/H4
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family
PF00128	Alpha amylase, catalytic domain
PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	Metallothionein
PF00132	Bacterial transferase hexapeptide (six repeats)
PF00133	tRNA synthetases class I (I, L, M and V)
PF00134	Cyclin, N-terminal domain
PF00135	Carboxylesterase family
PF00136	DNA polymerase family B
PF00140	Sigma-70 factor, region 1.2
PF00141	Peroxidase
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00144	Beta-lactamase
PF00145	C-5 cytosine-specific DNA methylase
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00149	Calcineurin-like phosphoesterase
PF00150	Cellulase (glycosyl hydrolase family 5)
PF00151	Lipase
PF00152	tRNA synthetases class II (D, K and N)
PF00153	Mitochondrial carrier protein
PF00154	recA bacterial DNA recombination protein
PF00155	Aminotransferase class I and II
PF00156	Phosphoribosyl transferase domain
PF00157	Pou domain - N-terminal to homeobox domain
PF00158	Sigma-54 interaction domain
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162	Phosphoglycerate kinase
PF00163	Ribosomal protein S4/S9 N-terminal domain
PF00165	Bacterial regulatory helix-turn-helix proteins, AraC family
PF00166	Chaperonin 10 Kd subunit
PF00167	Fibroblast growth factor
PF00168	C2 domain
PF00169	PH domain
PF00170	bZIP transcription factor
PF00171	Aldehyde dehydrogenase family
PF00173	Cytochrome b5-like Heme/Steroid binding domain
PF00174	Oxidoreductase molybdopterin binding domain
PF00175	Oxidoreductase NAD-binding domain
PF00176	SNF2 family N-terminal domain
PF00178	Ets-domain
