Entry	Query	Entry name	Organism	Organism ID	Length	Status
O75575	O75575	RPC9_HUMAN	Homo sapiens (Human)	9606	148	reviewed
Q96AT9	Q96AT9	RPE_HUMAN	Homo sapiens (Human)	9606	228	reviewed
P52434	P52434	RPAB3_HUMAN	Homo sapiens (Human)	9606	150	reviewed
Q6ZNA4	Q6ZNA4	RN111_HUMAN	Homo sapiens (Human)	9606	994	reviewed
P61587	P61587	RND3_HUMAN	Homo sapiens (Human)	9606	244	reviewed
O76064	O76064	RNF8_HUMAN	Homo sapiens (Human)	9606	485	reviewed
Q96EP0	Q96EP0	RNF31_HUMAN	Homo sapiens (Human)	9606	1072	reviewed
Q9NWF9	Q9NWF9	RN216_HUMAN	Homo sapiens (Human)	9606	866	reviewed
O94763	O94763	RMP_HUMAN	Homo sapiens (Human)	9606	535	reviewed
O60930	O60930	RNH1_HUMAN	Homo sapiens (Human)	9606	286	reviewed
P07998	P07998	RNAS1_HUMAN	Homo sapiens (Human)	9606	156	reviewed
Q96EQ8	Q96EQ8	RN125_HUMAN	Homo sapiens (Human)	9606	232	reviewed
O00237	O00237	RN103_HUMAN	Homo sapiens (Human)	9606	685	reviewed
Q9Y3C5	Q9Y3C5	RNF11_HUMAN	Homo sapiens (Human)	9606	154	reviewed
P78317	P78317	RNF4_HUMAN	Homo sapiens (Human)	9606	190	reviewed
Q9H4P4	Q9H4P4	RNF41_HUMAN	Homo sapiens (Human)	9606	317	reviewed
P09651	P09651	ROA1_HUMAN	Homo sapiens (Human)	9606	372	reviewed
P27694	P27694	RFA1_HUMAN	Homo sapiens (Human)	9606	616	reviewed
P52435	P52435	RPB11_HUMAN	Homo sapiens (Human)	9606	117	reviewed
P24928	P24928	RPB1_HUMAN	Homo sapiens (Human)	9606	1970	reviewed
O14802	O14802	RPC1_HUMAN	Homo sapiens (Human)	9606	1390	reviewed
P04843	P04843	RPN1_HUMAN	Homo sapiens (Human)	9606	607	reviewed
P19387	P19387	RPB3_HUMAN	Homo sapiens (Human)	9606	275	reviewed
Q5VZM2	Q5VZM2	RRAGB_HUMAN	Homo sapiens (Human)	9606	374	reviewed
Q9HB90	Q9HB90	RRAGC_HUMAN	Homo sapiens (Human)	9606	399	reviewed
P10301	P10301	RRAS_HUMAN	Homo sapiens (Human)	9606	218	reviewed
Q0WEY3	Q7CIN4	Q0WEY3_YERPE	Yersinia pestis	632	545	unreviewed
Q8CZK9	Q8CZK9	Q8CZK9_YERPE	Yersinia pestis	632	448	unreviewed
Q8CZF9	Q8CZF9	Q8CZF9_YERPE	Yersinia pestis	632	269	unreviewed
A0A384LCM3	Q7CGA9	A0A384LCM3_YERPE	Yersinia pestis	632	458	unreviewed
A0A384KVV0	Q7CGD0	A0A384KVV0_YERPE	Yersinia pestis	632	169	unreviewed
A0A384LDW6	Q7CHL3	A0A384LDW6_YERPE	Yersinia pestis	632	590	unreviewed
A0A384KPW0	Q7CFX2	A0A384KPW0_YERPE	Yersinia pestis	632	75	unreviewed
A0A384KAD8	Q7CJK4	A0A384KAD8_YERPE	Yersinia pestis	632	491	unreviewed
Q0WDK2	Q7CJR6	Q0WDK2_YERPE	Yersinia pestis	632	209	unreviewed
A0A384LPZ8	Q7CIT4	A0A384LPZ8_YERPE	Yersinia pestis	632	794	unreviewed
A0A384KZW9	Q7CFY9	A0A384KZW9_YERPE	Yersinia pestis	632	194	unreviewed
Q8CZR2	Q8CZR2	Q8CZR2_YERPE	Yersinia pestis	632	342	unreviewed
A0A384L590	Q7CJS6	A0A384L590_YERPE	Yersinia pestis	632	268	unreviewed
Q0WKF2	Q7CFW4	Q0WKF2_YERPE	Yersinia pestis	632	374	unreviewed
Q8D080	Q8D080	Q8D080_YERPE	Yersinia pestis	632	384	unreviewed
A0A384KNX2	Q7CJK5	A0A384KNX2_YERPE	Yersinia pestis	632	450	unreviewed
Q0WJB8	Q7CGA8	Q0WJB8_YERPE	Yersinia pestis	632	587	unreviewed
Q8D133	Q8D133	Q8D133_YERPE	Yersinia pestis	632	309	unreviewed
Q7CGQ2	Q7CGQ2	Q7CGQ2_YERPE	Yersinia pestis	632	882	unreviewed
A0A384KEH5	Q7CKP0	A0A384KEH5_YERPE	Yersinia pestis	632	382	unreviewed
A0A384K9R3	Q7CIH3	A0A384K9R3_YERPE	Yersinia pestis	632	334	unreviewed
Q7CJI6	Q7CJI6	Q7CJI6_YERPE	Yersinia pestis	632	589	unreviewed
A0A384KBV6	Q7CH84	A0A384KBV6_YERPE	Yersinia pestis	632	284	unreviewed
A0A0H2W631	Q7CJF7	A0A0H2W631_YERPE	Yersinia pestis	632	575	unreviewed
A0A384KZW0	Q7CLA7	A0A384KZW0_YERPE	Yersinia pestis	632	569	unreviewed
A0A384L3E0	Q7CHI6	A0A384L3E0_YERPE	Yersinia pestis	632	320	unreviewed
Q7CFY4	Q7CFY4	Q7CFY4_YERPE	Yersinia pestis	632	3013	unreviewed
A0A0H2W5B5	Q7CIT3	A0A0H2W5B5_YERPE	Yersinia pestis	632	1018	unreviewed
Q8D0D4	Q8D0D4	Q8D0D4_YERPE	Yersinia pestis	632	843	unreviewed
A0A384L8E0	Q7CIW0	A0A384L8E0_YERPE	Yersinia pestis	632	388	unreviewed
A0A384KEN6	Q7CIP9	A0A384KEN6_YERPE	Yersinia pestis	632	279	unreviewed
A0A0H2W710	Q7CGH7	A0A0H2W710_YERPE	Yersinia pestis	632	303	unreviewed
A0A384KY25	Q7CKQ1	A0A384KY25_YERPE	Yersinia pestis	632	212	unreviewed
A0A384KP52	Q7CKJ8	A0A384KP52_YERPE	Yersinia pestis	632	323	unreviewed
A0A0H2W8G8	Q7CG90	A0A0H2W8G8_YERPE	Yersinia pestis	632	337	unreviewed
A0A384L2A2	Q7CL29	A0A384L2A2_YERPE	Yersinia pestis	632	867	unreviewed
A0A384KBR0	Q7CJ53	A0A384KBR0_YERPE	Yersinia pestis	632	562	unreviewed
A0A0H2W6Y4	Q7CJA6	A0A0H2W6Y4_YERPE	Yersinia pestis	632	336	unreviewed
Q8CLE4	Q8CLE4	Q8CLE4_YERPE	Yersinia pestis	632	353	unreviewed
A0A384KHP8	Q7CH24	A0A384KHP8_YERPE	Yersinia pestis	632	242	unreviewed
Q8CKW8	Q8CKW8	Q8CKW8_YERPE	Yersinia pestis	632	766	unreviewed
A0A384K818	Q7CKH8	A0A384K818_YERPE	Yersinia pestis	632	468	unreviewed
Q0WEL8	Q7CII9	Q0WEL8_YERPE	Yersinia pestis	632	508	unreviewed
A0A384L5K8	Q7CHS3	A0A384L5K8_YERPE	Yersinia pestis	632	275	unreviewed
A0A384KPX7	Q7CKA0	A0A384KPX7_YERPE	Yersinia pestis	632	495	unreviewed
A0A384L7G7	Q7CJU6	A0A384L7G7_YERPE	Yersinia pestis	632	393	unreviewed
A0A384LLI5	Q7CFN3	A0A384LLI5_YERPE	Yersinia pestis	632	222	unreviewed
Q0WBX7	Q7CKA1	Q0WBX7_YERPE	Yersinia pestis	632	381	unreviewed
A0A384KPQ0	Q7CG44	A0A384KPQ0_YERPE	Yersinia pestis	632	361	unreviewed
A0A384L3H4	Q7CHP1	A0A384L3H4_YERPE	Yersinia pestis	632	361	unreviewed
A0A384L9U0	Q7CFW7	A0A384L9U0_YERPE	Yersinia pestis	632	226	unreviewed
A0A384L2F1	Q7CK47	A0A384L2F1_YERPE	Yersinia pestis	632	200	unreviewed
Q8CKB2	Q8CKB2	Q8CKB2_YERPE	Yersinia pestis	632	688	unreviewed
Q0WE50	Q7CJ45	Q0WE50_YERPE	Yersinia pestis	632	351	unreviewed
A0A384KFQ4	Q7CKZ4	A0A384KFQ4_YERPE	Yersinia pestis	632	263	unreviewed
