Pathogen	Pathogen_Uniprot_ID	Human_Uniprot_ID
Yersinia pestis	Q9ZFR9	P84243
Yersinia pestis	Q9ZFR9	A4D1N4
Yersinia pestis	Q9ZFR9	Q05682
Yersinia pestis	Q9ZFR9	P01871
Yersinia pestis	Q9ZFR9	O94842
Yersinia pestis	Q9ZFR9	Q14571
Yersinia pestis	Q9ZFR9	Q01459
Yersinia pestis	Q9ZFR9	P01857
Yersinia pestis	Q9ZFR9	Q9NX63
Yersinia pestis	Q9ZFR9	Q5RIA9
Yersinia pestis	Q9ZFR9	P19338
Yersinia pestis	Q9ZFR9	Q7Z3K3
Yersinia pestis	Q9ZFR9	P26010
Yersinia pestis	Q9ZFR9	O75197
Yersinia pestis	Q9ZFR9	P01877
Yersinia pestis	Q9ZFR9	P55287
Yersinia pestis	Q9ZFR9	P46379
Yersinia pestis	Q9ZFR9	P02452
Yersinia pestis	Q9ZFR9	P42166
Yersinia pestis	Q9ZFR9	A4D0U5
Yersinia pestis	Q9ZFR9	P61604
Yersinia pestis	Q9ZFR9	Q8N2S1
Yersinia pestis	Q9ZFR9	Q08117
Yersinia pestis	Q9ZFR9	B2R4P9
Yersinia pestis	Q9ZFR9	Q9BSJ8
Yersinia pestis	Q9ZFR9	P30480
Yersinia pestis	Q9ZFR9	O14901
Yersinia pestis	Q9ZFR9	Q14192
Yersinia pestis	Q9ZFR9	P19838
Yersinia pestis	Q9ZFR9	P25025
Yersinia pestis	Q9ZFR9	O95236
Yersinia pestis	Q9ZFR9	P07237
Yersinia pestis	Q9ZFR9	Q02297
Yersinia pestis	Q9ZFR9	Q9NY15
Yersinia pestis	Q9ZFR9	Q9ULF5
Yersinia pestis	Q9ZFR9	Q9H4A3
Yersinia pestis	Q9ZFR9	O60318
Yersinia pestis	Q9ZFR9	A8K3M3
Yersinia pestis	Q9ZFR9	Q8NDI1
Yersinia pestis	Q9ZFR9	Q9UKY1
Yersinia pestis	Q9ZFR9	P49585
Yersinia pestis	Q9ZFR9	P17931
Yersinia pestis	Q9ZFR9	P04275
Yersinia pestis	Q9ZFR9	Q9H078
Yersinia pestis	Q9ZFR9	Q9UGI8
Yersinia pestis	Q9ZFR9	Q9H2K8
Yersinia pestis	Q9ZFR9	Q14686
Yersinia pestis	Q9ZFR9	P50416
Yersinia pestis	Q9ZFR9	P11474
Yersinia pestis	Q9ZFR9	Q16769
Yersinia pestis	Q9ZFR9	P18031
