	Eigenvector_centrality	Degree_centrality	Clustering_coefficient	Betweenness_centrality
P00352	2.207378449200364e-32	0.00020861583394179617	0.0	0.0
B4E3U0,Q13683,Q4LE35	0.001048164526901948	0.0006258475018253885	0.16666666666666666	0.0002975278076681891
P02708,Q53SH4	0.00012044060030070469	0.00041723166788359235	0.0	0.0004009048290962248
Q9ULJ8,A1L494,B7ZLX4	0.001922150451162922	0.0009387712527380828	0.23809523809523808	3.7910427872746546e-05
P63261	0.006808115907188223	0.004380932512777719	0.02564102564102564	0.002309195299534168
P10124	0.0013202099532394884	0.0007301554187962866	0.0	0.00014366409903117123
P16070,O95370	0.017325969459367815	0.0038593929279232293	0.03529411764705882	0.0021699164664780147
Q14451,Q53YD3	0.024560853098460456	0.0016689266715343694	0.2833333333333333	0.00015354891535200815
P04626	0.053995726470360106	0.005111087931574007	0.1276595744680851	0.0020973031360397593
Q13153	0.06093780169074829	0.006884322520079274	0.06696428571428571	0.0054963524344675855
P78352	0.02885219265840911	0.01043079169708981	0.033031769408794445	0.008318336356853811
O00459	0.04041785808047605	0.0033378533430687388	0.19959677419354838	0.0005267840889979477
Q99952,B4E1E6	0.011356212162330733	0.0009387712527380828	0.1111111111111111	5.852563163758233e-05
Q96RT1	0.015570485139174313	0.0021904662563888596	0.08771929824561403	0.0006474290477442885
Q9HAU4,Q96DE7	0.016660463868856577	0.006884322520079274	0.028273809523809524	0.004756359032495511
Q13017	0.005561209695875802	0.0008344633357671847	0.07142857142857142	9.62347314185537e-05
P35240	0.010897863355687725	0.002086158339417962	0.06535947712418301	0.0006712626220069097
P27701,Q7Z5N2	0.008688236374961408	0.0021904662563888596	0.08095238095238096	0.0012775993480344864
Q9UJM3,B3KTV8	0.005466200881772458	0.0003129237509126943	0.3333333333333333	3.618924298136372e-06
P09237	0.0027937644149228173	0.0016689266715343694	0.09166666666666666	0.0003748378178892883
P50616	0.0138944703231354	0.001356002920621675	0.19230769230769232	0.00028339749027082585
A0T3F4,Q99102,O76037	0.001359642328169928	0.00020861583394179617	0.0	0.00020017196334202393
Q9NRD5,B3KS52	0.011288191593758757	0.004589548346719516	0.024390243902439025	0.0029233024747795365
Q9H3M7	0.0038532440284245765	0.0008344633357671847	0.07142857142857142	0.0004918290104084177
