Pathogen	Pathogen_Uniprot_ID	Human_Uniprot_ID
Yersinia pestis	Q9RI12	Q96FW1
Yersinia pestis	Q7ARN6	P63000
Yersinia pestis	Q8D0Q9	O43491
Yersinia pestis	Q0WAP0	Q9P0K7
Yersinia pestis	Q0WA24	O75530
Yersinia pestis	A0A384KFZ8	P41227
Yersinia pestis	Q8D072	Q5R372
Yersinia pestis	Q8ZAL3	Q53G59
Yersinia pestis	Q8D1P6	Q12882
Yersinia pestis	Q8CZR5	P14373
Yersinia pestis	Q0WGC0	P19838
Yersinia pestis	Q0WER9	P19838
Yersinia pestis	A0A384KPX3	Q8N3D4
Yersinia pestis	A0A384KVQ8	Q13352
Yersinia pestis	Q8Z9R8	P42226
Yersinia pestis	A0A384LA47	Q7Z7A1
Yersinia pestis	A0A384LGT3	P10619
Yersinia pestis	Q7ARN5	Q9NYY3
Yersinia pestis	Q7CFY4	Q8N2S1
Yersinia pestis	A0A384KVS9	Q9BUH6
Yersinia pestis	P31491	Q7LBR1
Yersinia pestis	Q7CGI0	O00560
Yersinia pestis	O68776	P26599
Yersinia pestis	A0A384LAW2	P09488
Yersinia pestis	Q8ZGX4	Q9HCK8
Yersinia pestis	Q8D017	Q9Y3C0
Yersinia pestis	Q8ZHK5	Q9UK61
Yersinia pestis	A0A0H2W7W5	Q13137
Yersinia pestis	Q0WC33	Q8WWM7
Yersinia pestis	Q8ZD84	Q02410
Yersinia pestis	Q0W9S5	P63279
Yersinia pestis	A0A0H2W710	Q96Q15
Yersinia pestis	Q8D017	Q13435
Yersinia pestis	Q8D078	O00560
Yersinia pestis	Q8ZED8	Q9BX97
Yersinia pestis	Q8ZGK8	Q8N3S3
Yersinia pestis	A0A384L3X9	Q96HC4
Yersinia pestis	Q8ZH00	Q13287
Yersinia pestis	Q7ARN5	P19838
Yersinia pestis	Q8CK76	P09488
Yersinia pestis	Q8D017	Q12841
Yersinia pestis	A0A384KR68	A5YKK6
Yersinia pestis	Q0WD65	P46379
Yersinia pestis	Q7CIZ0	Q5BKZ1
Yersinia pestis	Q8D014	P42226
Yersinia pestis	Q8D1A1	O43865
Yersinia pestis	Q74Q56	Q969X0
Yersinia pestis	A0A384KC34	Q6YHU6
Yersinia pestis	Q8ZGA1	Q12899
Yersinia pestis	Q8D0D3	Q32P51
Yersinia pestis	Q7CKD4	P30520
Yersinia pestis	A0A384KNX1	P19838
Yersinia pestis	P58497	Q8N2S1
Yersinia pestis	Q7CGZ2	P52272
Yersinia pestis	Q8ZBM0	P30519
Yersinia pestis	A0A384L498	Q7L622
Yersinia pestis	Q8D1K0	Q12882
Yersinia pestis	A0A384KCT2	Q12882
Yersinia pestis	A0A0H2W3X0	Q12882
