Entry	Gene names	Protein names	Length
E7ET40	PLAU	Urokinase-type plasminogen activator	414
P61160	ACTR2 ARP2	Actin-related protein 2 (Actin-like protein 2)	394
Q7L576	CYFIP1 KIAA0068	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1)	1253
P01762	IGHV3-11	Immunoglobulin heavy variable 3-11 (Ig heavy chain V-III region TRO)	117
P00736	C1R	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	705
P0DOY3	IGLC3	Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions)	106
O43866	CD5L API6 UNQ203/PRO229	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	347
P63000	RAC1 TC25 MIG5	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	192
Q8IZP0	ABI1 SSH3BP1	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	508
B4DN26	PLAT	Tissue-type plasminogen activator (cDNA FLJ59355, highly similar to Tissue-type plasminogen activator)	473
P06331	IGHV4-34	Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77)	123
P08581	MET	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	1390
A0A0C4DH25	IGKV3D-20	Immunoglobulin kappa variable 3D-20	116
P00750	PLAT	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	562
P01601	IGKV1D-16	Immunoglobulin kappa variable 1D-16 (Ig kappa chain V-I region HK146) (Ig kappa chain V-I region HK189)	117
P02671	FGA	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	866
